rubronombre,n,nivel2,nivel1
FABRICACIÓN DE MAQUINARIA Y EQUIPO DE USO GENERAL N.C.P.,5,fabricacion,industria y deposito
ALQUILER DE EQUIPO DE CONSTRUCCIÓN O DEMOLICIÓN DOTADO DE OPERARIOS,5,otro,otro
"FABRICACIÓN DE PREPARADOS PARA LIMPIEZA, PULIDO Y SANEAMIENTO",5,fabricacion,industria y deposito
TERMINACIÓN DE EDIFICIOS N.C.P.,5,otro,otro
Reparaciones y afinaciones de instrumentos musicales,5,otro,otro
FABRICACIÓN DE EQUIPO ELÉCTRICO N.C.P.,5,fabricacion,industria y deposito
"REPARACIÓN Y MANTENIMIENTO DE PRODUCTOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO",5,otro,otro
SERVICIOS DE GESTIÓN DE DEPÓSITOS FISCALES,5,deposito,industria y deposito
Confección de prenda de vestir de cuero y sucedáneos,5,otro,otro
ELABORACIÓN Y MOLIENDA DE HIERBAS AROMÁTICAS Y  ESPECIAS,5,otro,otro
SERVICIO DE TRANSPORTE AUTOMOTOR DE MERCADERÍAS Y SUSTANCIAS PELIGROSAS,5,transporte,servicios profesionales
Fabricación de materiales plásticos,5,fabricacion,industria y deposito
ENSEÑANZA UNIVERSITARIA EXCEPTO FORMACION DE POSGRADO,5,educacion,educacion
"VENTA AL POR MAYOR DE LANAS, CUEROS EN BRUTO Y PRODUCTOS AFINES",5,mayorista,industria y deposito
"VENTA AL POR MAYOR DE MÁQUINAS, EQUIPOS E IMPLEMENTOS DE USO EN LA ELABORACIÓN DE ALIMENTOS, BEBIDAS Y TABACO",5,mayorista,industria y deposito
Fabricación y reparación de tractores,5,fabricacion,industria y deposito
Fabricación de viviendas prefabricadas de madera,5,fabricacion,industria y deposito
Venta al por menor de artículos para publicidad,5,otro,otro
EMISORA Y/O PRODUCTORA DE RADIO,5,otro,otro
INSTALACION DE MAQUINARIA Y EQUIPOS INDUSTRIALES,5,otro,otro
Transporte de pasajeros de larga distancia,5,transporte,servicios profesionales
"FABRICACIÓN DE CERRADURAS, HERRAJES Y ARTÍCULOS DE FERRETERÍA N.C.P.",5,fabricacion,industria y deposito
"VENTA AL POR MAYOR DE CEREALES (INCLUYE ARROZ), OLEAGINOSAS Y FORRAJERAS EXCEPTO SEMILLAS",4,mayorista,industria y deposito
"INSTALACIONES DE ASCENSORES, MONTACARGAS Y  ESCALERAS MECÁNICAS",4,otro,otro
